name,latitude,longitude,type,rating,comment,status
Dyker Beach Park,40.606197,-74.01711618,A,N/A,"A, Near Ballfield",Active
De Witt Clinton Park,40.76838516,-73.99327813,D,N/A,"D, Near Ballfield",Active
Prospect Park,40.66139183,-73.97694816,Bottle Filler Fountain,N/A,"Bottle Filler Fountain, Out in Open, Near Ballfield",Active
Crotona Park,40.83726404,-73.89458858,A,N/A,"A, Out in Open",Active
Alley Pond Park,40.74187866,-73.74720961,A,N/A,"A, Out in Open",Active
Central Park,40.76911733,-73.9737995,Other,N/A,"Other, Under Tree, In Shade, Out in Open",Active
Osborn Playground,40.65566635,-73.90618328,A,N/A,"A, Under Tree, Near Ballfield, In Shade",Active
Forest Park,40.70165018,-73.856102,C,N/A,"C, Just Outside Playground",Active
Bronx River Parkway,40.82705541,-73.87364842,F High Low Dog,N/A,"F High Low Dog, In Playground, Near Ballfield",Active
Hoover - Manton Playgrounds,40.71216436,-73.82139912,A,N/A,"A, In Playground",Active
Grover Cleveland Playground,40.7105353,-73.91204603,C,N/A,"C, Near Ballfield",Active
Marie Curie Park,40.75706197,-73.77116818,C,N/A,"C, In Playground",Active
Nautilus Playground,40.57162073,-73.99604941,C,N/A,"C, Under Tree, In Shade, In Playground",Active
Auburndale Playground,40.76585117,-73.79396964,C,N/A,"C, Under Tree, In Playground",Active
Kissena Corridor Park,40.74635311,-73.82154638,A,N/A,"A, Under Tree, In Shade, In Playground",Active
Cooper Triangle,40.72873927,-73.99084611,Trough,N/A,"Trough, Out in Open",Active
De Hostos Playground,40.70243757,-73.94917457,D,N/A,"D, Out in Open, In Playground",Active
Flushing Fields,40.77427514,-73.81730891,D,N/A,"D, Near Ballfield",Active
Astoria Park,40.77695799,-73.92522846,D,N/A,"D, Near Ballfield, Under Tree, Out in Open",Active
St. Albans Park,40.69308987,-73.77814298,C,N/A,"C, Out in Open",Active
East River Waterfront Esplanade,40.70972578,-73.99152089,Other,N/A,"Other, In Shade, Near Ballfield",Active
Jackie Robinson Park,40.82756365,-73.94004501,A,N/A,"A, Near Ballfield, In Playground",Active
Fort Hamilton Athletic Field,40.62608703,-74.03741659,D,N/A,"D, Near Ballfield",Active
Hattie Carthan Playground,40.68574631,-73.94615714,C,N/A,"C, Near Ballfield, In Playground",Active
Van Alst Playground,40.77060731,-73.9280786,Bottle Filler,N/A,"Bottle Filler, In Playground",Active
Whitestone Playground,40.79218816,-73.80879009,A,N/A,"A, Under Tree, In Shade, Near Ballfield",Active
Tilden Playground,40.6479348,-73.93140484,CS Concrete,N/A,"CS Concrete, Out in Open, In Playground",Active
Flushing Meadows Corona Park,40.75103432,-73.84241709,C,N/A,"C, Out in Open",Active
Van Cortlandt Park,40.88677753,-73.8983007,Trough,N/A,"Trough, Under Tree, In Playground",Active
Rockaway Beach Boardwalk,40.58381271,-73.81318973,Trough,N/A,"Trough, Out in Open",Active
MacLaughlin Playground,40.88781534,-73.90552997,D,N/A,"D, Under Tree",Active
Roy Wilkins Recreation Center,40.68602839,-73.76960615,A,N/A,"A, In Playground",Active
Forest Park,40.70090695,-73.84247057,D,N/A,"D, In Playground",Active
Woodtree Playground,40.77782906,-73.90241777,A,N/A,"A, Near Ballfield",Active
Juniper Valley Park,40.72095768,-73.87755767,D,N/A,"D, Out in Open",Active
The Painter's Playground,40.72043656,-73.85978447,A,N/A,"A, Under Tree, In Playground",Active
John V. Lindsay East River Park,40.71089242,-73.97790068,E Wheelchair,N/A,"E Wheelchair, Under Tree, Near Ballfield",Active
Highland Park,40.69062037,-73.88460072,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Fountain Of Youth Playground,40.8135272,-73.90533383,D,N/A,"D, Under Tree, In Playground",Active
Horace Harding Playground,40.73342825,-73.8609526,A,N/A,"A, Near Ballfield",Active
Franz Sigel Park,40.82308734,-73.92571625,A,N/A,"A, Out in Open",Active
Central Park,40.77763184,-73.9639717,E Wheelchair Child,N/A,"E Wheelchair Child, In Playground",Active
Asser Levy Playground,40.73610927,-73.97619654,E Wheelchair Child,N/A,"E Wheelchair Child, Just Outside Playground, Near Ballfield",Active
Star Spangled Playground,40.69206202,-73.95824578,D,N/A,"D, Near Ballfield",Active
Rienzi Playground,40.88776934,-73.85881294,A,N/A,"A, Under Tree, In Shade, In Playground",Active
Hallets Cove Playground,40.77182741,-73.93463272,A,N/A,"A, In Playground",Active
Glenwood Playground,40.63689409,-73.91943426,F High Low,N/A,"F High Low, Out in Open, Just Outside Playground",Active
Bayswater Park,40.59906642,-73.76732679,A,N/A,"A, Out in Open",Active
Van Nest Park,40.84356631,-73.86585179,F High Low,N/A,"F High Low, Under Tree",Active
Dongan Playground,40.5828947,-74.08983708,A,N/A,"A, In Playground",Active
Riverside Park,40.78382801,-73.98635207,A,N/A,"A, Just Outside Playground, Near Ballfield, Out in Open",Active
Sperandeo Brothers Playground,40.67772546,-73.88378165,E Wheelchair Child,N/A,"E Wheelchair Child, Under Tree, In Playground",Active
St. Mark's Playground,40.67467897,-73.93995607,C,N/A,"C, In Playground, Out in Open",Active
Lincoln Terrace / Arthur S. Somers Park,40.6658981,-73.92727303,C,N/A,"C, Under Tree",Active
Baisley Pond Park,40.67728075,-73.7823199,C,N/A,"C, In Playground",Active
Beach 9 Playground,40.59513869,-73.74608302,D,N/A,"D, Just Outside Playground",Active
Glen Oaks Oval,40.74971435,-73.71511305,A,N/A,"A, Near Ballfield",Active
Central Park,40.78043709,-73.96500135,E Wheelchair,N/A,"E Wheelchair, Under Tree, In Shade",Active
Clove Lakes Park,40.61771235,-74.11054252,A,N/A,"A, Out in Open",Active
Battery Park City,40.70506569,-74.01839057,CS Metal,N/A,"CS Metal, In Shade",Active
Central Park,40.78875923,-73.9618045,E Wheelchair,N/A,"E Wheelchair, Under Tree, Out in Open",Active
Pelham Bay Park,40.8471242,-73.82570717,C,N/A,"C, Near Ballfield",Active
Park Of The Americas,40.74860537,-73.86201958,C,N/A,"C, Near Ballfield",Active
Coney Island Beach & Boardwalk,40.57400125,-73.97147811,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
London Planetree Playground,40.68580648,-73.8533049,D,N/A,"D, In Playground",Active
John V. Lindsay East River Park,40.71897745,-73.97449563,C,N/A,"C, Near Ballfield",Active
Thomas Jefferson Park,40.79246694,-73.93566495,B,N/A,"B, Near Ballfield, Under Tree",Active
Randall's Island Park,40.79484725,-73.9148451,Pedestal,N/A,"Pedestal, Out in Open, Near Ballfield",Active
Pelham Bay Park,40.84661868,-73.82445541,C,N/A,"C, Near Ballfield",Active
Kelly Park,40.60380865,-73.9575098,D,N/A,"D, In Playground",Active
Sutton Parks,40.75499171,-73.96242699,E Wheelchair,N/A,"E Wheelchair, Under Tree",Active
Kissena Park,40.74590317,-73.81090303,A,N/A,"A, Near Ballfield",Active
Canarsie Park,40.62900653,-73.89293579,A,N/A,"A, Out in Open, Near Ballfield",Active
Betsy Head Park,40.66214589,-73.91373062,A,N/A,"A, Under Tree, In Shade",Active
St. Andrew's Playground,40.67826055,-73.94282703,A,N/A,"A, Near Ballfield, In Playground",Active
Playground Sixty Two LXII,40.73598175,-73.85276344,A,N/A,"A, In Playground",Active
Jennifer's Playground,40.61976673,-74.16276533,C,N/A,"C, Out in Open",Active
Murray Playground,40.74756423,-73.94921759,C,N/A,"C, Near Ballfield, Out in Open",Active
Freshkills Park,40.56130174,-74.19724705,Pedestal,N/A,"Pedestal, Near Ballfield",Active
Macombs Dam Park,40.82718867,-73.93032856,Trough,N/A,"Trough, Out in Open",Active
Grant Park,40.83618064,-73.91365078,C,N/A,"C, Out in Open",Active
Owen F. Dolen Park,40.84061236,-73.84260509,E Wheelchair Child,N/A,"E Wheelchair Child, Out in Open",Active
Bronx River Parkway,40.89077734,-73.86404139,D,N/A,"D, In Playground",Active
Nostrand Playground,40.63753103,-73.94683637,E Wheelchair,N/A,"E Wheelchair, Out in Open, Near Ballfield",Active
Julio Carballo Fields,40.81526265,-73.88895763,C,N/A,"C, In Playground",Active
The Battery,40.702604,-74.0159678,E Wheelchair,N/A,"E Wheelchair, Under Tree",Active
Sternberg Park,40.70614733,-73.94760287,A,N/A,"A, Near Ballfield",Active
Kaiser Park,40.57836301,-73.99675317,C,N/A,"C, Out in Open, In Playground",Active
Coney Island Beach & Boardwalk,40.57349615,-73.97572558,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Harold Schneiderman Playground,40.66501359,-73.85017982,A,N/A,"A, Out in Open",Active
Shore Park and Parkway,40.63407326,-74.03844843,C,N/A,"C, Near Ballfield",Active
Harlem River Park,40.80562803,-73.93268037,B,N/A,"B, Near Ballfield",Active
Bronx Park,40.84272455,-73.87780645,C,N/A,"C, Out in Open, In Playground",Active
Quaker Parrot Park at the Dust Bowl,40.63234298,-74.01303253,C,N/A,"C, Near Ballfield",Active
Lindower Park,40.61161989,-73.9123665,A,N/A,"A, Near Ballfield, Out in Open",Active
Cross Island Parkway,40.77251172,-73.76521863,A,N/A,"A, Out in Open",Active
The Pearly Gates,40.83893675,-73.84542565,D,N/A,D,Active
Martin Luther King Jr. Playground,40.66736675,-73.89024,C,N/A,"C, In Playground",Active
Mullaly Park,40.83331969,-73.92417336,C,N/A,"C, Out in Open, Near Ballfield",Active
Lincoln Terrace / Arthur S. Somers Park,40.66709165,-73.92549746,D,N/A,"D, Out in Open",Active
Flushing Meadows Corona Park,40.74743577,-73.84527477,A,N/A,"A, Under Tree",Active
Power Playground,40.61817913,-73.92713277,C,N/A,"C, Under Tree, Out in Open, In Playground",Active
Owl's Head Park,40.64052404,-74.03015708,C,N/A,"C, Just Outside Playground",Active
Vincent F. Albano Jr. Playground,40.74196948,-73.97842476,A,N/A,"A, In Playground",Active
Carl Schurz Park,40.77409711,-73.9444885,C,N/A,"C, In Playground",Active
Eugene McCabe Field,40.80251132,-73.9418616,C,N/A,"C, Near Ballfield",Active
Bronx Park,40.85904534,-73.87122287,A,N/A,"A, Out in Open",Active
Central Park,40.79160878,-73.95552037,E Wheelchair Dog,N/A,"E Wheelchair Dog, Out in Open",Active
Marine Park,40.60669822,-73.93392523,A,N/A,"A, Near Ballfield",Active
Holcombe Rucker Park,40.82900639,-73.93643855,A,N/A,"A, Under Tree, In Playground, Near Ballfield",Active
Central Park,40.79682565,-73.94990591,E Wheelchair Dog,N/A,"E Wheelchair Dog, Under Tree, In Shade",Active
Harry Maze Playground,40.64394105,-73.92289938,E High Low,N/A,"E High Low, Out in Open, Near Ballfield",Active
Rainey Park,40.81947608,-73.89667287,D,N/A,"D, Near Ballfield",Active
Evergreen Park,40.69750799,-73.89696154,A,N/A,"A, In Playground",Active
Old Town Playground,40.59574087,-74.08128463,D,N/A,"D, In Playground",Active
Clement Clarke Moore Park,40.74661846,-74.00410576,A,N/A,"A, Under Tree, In Shade, In Playground",Active
Playground of the Americas,40.7280703,-74.00275612,A,N/A,"A, Under Tree, In Playground",Active
Cobble Hill Park,40.68831819,-73.99645526,B,N/A,"B, In Shade, In Playground",Active
Estella Diggs Park,40.82885437,-73.90587279,Trough,N/A,"Trough, Out in Open",Active
Fort Independence Playground,40.88158377,-73.89555075,E Wheelchair,N/A,"E Wheelchair, Under Tree",Active
Prospect Park,40.6546844,-73.97264026,E Wheelchair Dog,N/A,"E Wheelchair Dog, Out in Open, Just Outside Playground",Active
The Battery,40.70437576,-74.01626797,E Wheelchair Dog,N/A,"E Wheelchair Dog, Under Tree, In Shade",Active
Central Park,40.7968275,-73.94991467,E Wheelchair,N/A,"E Wheelchair, Under Tree, In Shade",Active
Pierrepont Playground,40.69623211,-73.99740401,C,N/A,"C, Under Tree, Out in Open, In Playground",Active
Greenwood Playground,40.65023927,-73.97664558,A,N/A,"A, In Playground",Active
Crowley Playground,40.72971271,-73.87913372,A,N/A,"A, In Shade, Under Tree",Active
Bloomingdale Park,40.53520633,-74.20873375,D,N/A,"D, In Playground",Active
Tribeca Park,40.72016157,-74.00564362,E Wheelchair,N/A,"E Wheelchair, Under Tree",Active
Coffey Park,40.67817859,-74.0076534,E Wheelchair Dog,N/A,"E Wheelchair Dog, Just Outside Playground, In Shade, Under Tree",Active
Pena Herrera Park,40.64949212,-74.01216904,A,N/A,"A, In Playground",Active
Benninger Playground,40.70696839,-73.89812647,A,N/A,"A, Under Tree, Just Outside Playground",Active
Grady Playground,40.58238352,-73.96461148,C,N/A,"C, In Playground, Under Tree, In Shade",Active
Samuel N. Bennerson 2nd Playground,40.77364402,-73.98672948,Other,N/A,"Other, Under Tree, Near Ballfield, In Playground",Active
Harry Maze Playground,40.64328226,-73.92321519,C,N/A,"C, Out in Open, In Playground",Active
Cooper Park,40.71579542,-73.93635489,E Wheelchair,N/A,"E Wheelchair, Near Ballfield",Active
Gwirtzman Triangle,40.57558373,-73.86269216,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Coney Island Boat Basin,40.58275003,-73.98917092,A,N/A,"A, Near Ballfield, Out in Open",Active
Seth Low Playground/ Bealin Square,40.60907927,-73.98596758,E Wheelchair,N/A,"E Wheelchair, Out in Open, Just Outside Playground",Active
